model,mean_reward,median_reward,mean_rank,mean_rank_pct,win1_frac,n_images,human_elo,rk_human,rk_model,rk_delta
black-forest-labs_flux.1-dev,0.8696649119735271,0.8982246816158295,4.173835125448028,0.2885304659498208,0.24193548387096775,558,1085,1,2,1
playgroundai_playground-v2.5-1024px-aesthetic,0.8581507548933521,0.9113900661468506,4.080645161290323,0.280058651026393,0.1917562724014337,558,1058,2,1,-1
pixart-alpha_pixart-sigma-xl-2-512-ms,0.6229985360745474,0.6032164394855499,4.953405017921147,0.3594004561746497,0.10215053763440861,558,1043,3,3,0
stabilityai_stable-diffusion-xl-base-1.0,0.29392821308706074,0.3310725688934326,6.327956989247312,0.4843597262952101,0.06989247311827956,558,1027,4,6,2
kandinsky-community_kandinsky-3,0.4667719783792172,0.5699042677879333,5.688172043010753,0.426197458455523,0.1057347670250896,558,1017,5,5,0
tencent-hunyuan_hunyuandit-v1.2-diffusers,0.5150252486258665,0.5360155999660492,5.374551971326165,0.39768654284783317,0.11469534050179211,558,1013,6,4,-2
stabilityai_sdxl-turbo,0.19699122745703945,0.21714954823255533,6.790322580645161,0.5263929618768329,0.05017921146953405,558,1011,7,8,1
deepfloyd_if-i-xl-v1.0,-0.08784255555890981,-0.0341892763972282,7.693548387096774,0.6085043988269795,0.016129032258064516,558,993,8,9,1
stabilityai_stable-diffusion-3-medium-diffusers,0.17636555417083657,0.26724207401275635,6.557347670250896,0.5052134245682633,0.05197132616487455,558,990,9,7,-2
retrieval,-0.1832810545183291,-0.1432077512145042,7.808243727598566,0.6189312479635061,0.04121863799283154,558,950,10,10,0
prompthero_openjourney,-0.5944191110879516,-0.6467349231243134,9.146953405017921,0.7406321277289019,0.007168458781362007,558,907,11,11,0
runwayml_stable-diffusion-v1-5,-0.6615724229040192,-0.7518427073955536,9.405017921146953,0.7640925382860867,0.007168458781362007,558,901,12,12,0
