lr,dropout,label_smoothing,unfreeze,val_acc,test_acc,run_tag
5e-06,0.2,0.1,4,0.75,0.6998,lr5e-06_drop0.2_ls0.1_unf4
5e-06,0.1,0.0,4,0.75,0.697,lr5e-06_drop0.1_ls0.0_unf4
1e-05,0.1,0.1,4,0.75,0.6884,lr1e-05_drop0.1_ls0.1_unf4
1e-05,0.2,0.0,4,0.7417,0.678,lr1e-05_drop0.2_ls0.0_unf4
1e-05,0.2,0.1,4,0.7458,0.6922,lr1e-05_drop0.2_ls0.1_unf4
1e-05,0.3,0.1,4,0.7625,0.6837,lr1e-05_drop0.3_ls0.1_unf4
3e-05,0.2,0.1,4,0.75,0.6714,lr3e-05_drop0.2_ls0.1_unf4
3e-05,0.3,0.1,4,0.7375,0.6856,lr3e-05_drop0.3_ls0.1_unf4
5e-06,0.1,0.0,5,0.7333,0.6941,lr5e-06_drop0.1_ls0.0_unf5
1e-05,0.2,0.1,5,0.7542,0.6866,lr1e-05_drop0.2_ls0.1_unf5
3e-05,0.2,0.1,5,0.7292,0.7235,lr3e-05_drop0.2_ls0.1_unf5
